epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,1137.77,0.60438,0.35306,0.99406,0.98554,0.98236,0.99001,0.85507,0.62036,0.26441,1.02351,0.000787632,0.000787632,0.000787632
149,1147.48,0.57636,0.36214,0.98565,0.98501,0.97587,0.99176,0.86396,0.61626,0.26249,1.01825,0.000785433,0.000785433,0.000785433
150,1157.18,0.5906,0.34233,0.99591,0.9814,0.97847,0.98991,0.86781,0.60108,0.26563,0.9992,0.000783233,0.000783233,0.000783233
151,1166.91,0.61411,0.357,1.00175,0.96843,0.96707,0.98619,0.85481,0.62663,0.29196,1.02773,0.000781033,0.000781033,0.000781033
152,1176.62,0.57331,0.33636,0.98065,0.98362,0.97637,0.98971,0.86246,0.6019,0.27322,1.00472,0.000778833,0.000778833,0.000778833
153,1186.37,0.59421,0.35149,0.98555,0.98175,0.97133,0.99038,0.87332,0.5924,0.26595,0.99385,0.000776633,0.000776633,0.000776633
154,1196.24,0.58393,0.35827,0.99023,0.95599,0.9333,0.97852,0.83756,0.64298,0.36057,1.03223,0.000774434,0.000774434,0.000774434
155,1206.01,0.59109,0.35381,0.98145,0.98023,0.98665,0.99015,0.85907,0.62028,0.27033,1.01946,0.000772234,0.000772234,0.000772234
156,1215.65,0.58576,0.3652,0.98159,0.98658,0.98215,0.98891,0.85847,0.60749,0.26819,1.021,0.000770034,0.000770034,0.000770034
157,1225.63,0.5864,0.36144,0.99014,0.99093,0.98928,0.99152,0.87015,0.59058,0.24672,1.00487,0.000767834,0.000767834,0.000767834
158,1235.49,0.59621,0.37085,0.99775,0.94707,0.95224,0.98258,0.84365,0.62534,0.33973,1.02557,0.000765635,0.000765635,0.000765635
159,1245.52,0.57756,0.34225,0.98649,0.96855,0.97649,0.98744,0.86887,0.59689,0.2945,0.99904,0.000763435,0.000763435,0.000763435
160,1255.54,0.58828,0.35232,0.9786,0.98325,0.96985,0.98941,0.86696,0.61194,0.27582,1.0116,0.000761235,0.000761235,0.000761235
161,1265.38,0.58388,0.34284,0.9882,0.96778,0.96087,0.98251,0.82742,0.68161,0.32473,1.07972,0.000759035,0.000759035,0.000759035
162,1275.04,0.58327,0.35196,0.98091,0.97418,0.9486,0.97833,0.84385,0.64445,0.31397,1.04449,0.000756835,0.000756835,0.000756835
163,1284.74,0.59735,0.35691,0.99281,0.9892,0.96688,0.98786,0.86415,0.59507,0.2599,1.00897,0.000754636,0.000754636,0.000754636
164,1294.4,0.5845,0.33198,0.99187,0.97955,0.98344,0.99068,0.86827,0.59516,0.2548,1.00116,0.000752436,0.000752436,0.000752436
165,1304.42,0.59281,0.35486,0.98249,0.97606,0.9621,0.98497,0.85843,0.60755,0.29319,1.006,0.000750236,0.000750236,0.000750236
166,1314.21,0.57599,0.34156,0.98909,0.97876,0.98419,0.9898,0.85546,0.61722,0.26371,1.01927,0.000748036,0.000748036,0.000748036
167,1323.99,0.58203,0.34117,0.97882,0.98622,0.9795,0.98849,0.86584,0.5946,0.25816,0.99926,0.000745837,0.000745837,0.000745837
168,1333.63,0.57609,0.32722,0.96747,0.96668,0.97362,0.98718,0.86662,0.59625,0.27619,0.99717,0.000743637,0.000743637,0.000743637
169,1343.33,0.56782,0.34014,0.98055,0.98848,0.97371,0.9879,0.85694,0.61905,0.2765,1.0108,0.000741437,0.000741437,0.000741437
170,1352.98,0.57247,0.33166,0.98336,0.97693,0.97014,0.98496,0.8611,0.6028,0.28046,0.99685,0.000739237,0.000739237,0.000739237
171,1362.85,0.5801,0.34524,0.98281,0.983,0.98159,0.98765,0.86351,0.60262,0.2667,1.00219,0.000737037,0.000737037,0.000737037
172,1372.71,0.568,0.3361,0.98313,0.98631,0.97029,0.98474,0.84982,0.61829,0.28348,1.01541,0.000734838,0.000734838,0.000734838
173,1382.64,0.56913,0.3349,0.9752,0.96121,0.96704,0.98734,0.84931,0.64702,0.30553,1.03936,0.000732638,0.000732638,0.000732638
174,1392.26,0.59353,0.34804,0.99363,0.97448,0.97627,0.98824,0.86463,0.6172,0.27593,1.00863,0.000730438,0.000730438,0.000730438
175,1401.87,0.56707,0.33238,0.97839,0.98487,0.96728,0.9903,0.867,0.60892,0.27358,1.01096,0.000728238,0.000728238,0.000728238
176,1411.57,0.57508,0.33746,0.98851,0.99124,0.97424,0.9876,0.85594,0.63034,0.2647,1.0153,0.000726038,0.000726038,0.000726038
177,1421.28,0.55676,0.33481,0.97354,0.96648,0.97312,0.9874,0.8584,0.61119,0.28643,1.0125,0.000723839,0.000723839,0.000723839
178,1431.18,0.57646,0.33713,0.98399,0.97676,0.96327,0.98593,0.84801,0.63294,0.28472,1.04081,0.000721639,0.000721639,0.000721639
179,1441.02,0.57838,0.35142,0.98646,0.97945,0.98862,0.98838,0.87027,0.60113,0.25498,1.00166,0.000719439,0.000719439,0.000719439
180,1450.76,0.58496,0.34427,0.9788,0.98266,0.97492,0.98354,0.85942,0.60776,0.2793,1.00934,0.000717239,0.000717239,0.000717239
181,1460.45,0.56081,0.32021,0.97333,0.97829,0.96232,0.98597,0.86301,0.5928,0.28892,1.00248,0.00071504,0.00071504,0.00071504
182,1470.34,0.56106,0.33075,0.97664,0.98413,0.97803,0.98806,0.86831,0.61593,0.27032,1.01551,0.00071284,0.00071284,0.00071284
