epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,1525.36,0.68528,0.54098,1.28218,0.9825,0.97545,0.98791,0.82715,0.71326,0.33741,1.2585,0.000794232,0.000794232,0.000794232
146,1535.81,0.6787,0.52475,1.26352,0.98223,0.97325,0.98907,0.80618,0.77179,0.37435,1.33269,0.000792032,0.000792032,0.000792032
147,1546.22,0.67159,0.53355,1.25427,0.97652,0.97374,0.98817,0.81015,0.77851,0.35358,1.33793,0.000789832,0.000789832,0.000789832
148,1556.47,0.67724,0.51815,1.26402,0.977,0.97046,0.9875,0.81307,0.76192,0.34198,1.33306,0.000787632,0.000787632,0.000787632
149,1566.68,0.69897,0.53641,1.27651,0.98895,0.97313,0.98959,0.81052,0.78622,0.3516,1.34499,0.000785433,0.000785433,0.000785433
150,1577.1,0.66819,0.51079,1.24582,0.98,0.96837,0.98887,0.80986,0.78078,0.36415,1.33961,0.000783233,0.000783233,0.000783233
151,1587.62,0.67545,0.52395,1.25882,0.97942,0.9573,0.9887,0.80552,0.792,0.36904,1.33702,0.000781033,0.000781033,0.000781033
152,1597.61,0.67575,0.51111,1.26517,0.97824,0.97078,0.98739,0.79439,0.82741,0.37291,1.3883,0.000778833,0.000778833,0.000778833
153,1608.05,0.70043,0.5257,1.27856,0.97624,0.98048,0.98652,0.80191,0.80253,0.35223,1.36401,0.000776633,0.000776633,0.000776633
154,1618.34,0.68115,0.55297,1.2576,0.95437,0.97213,0.98639,0.81185,0.76188,0.36387,1.30482,0.000774434,0.000774434,0.000774434
155,1628.84,0.67101,0.50881,1.24903,0.98745,0.96922,0.98842,0.81997,0.75855,0.34708,1.31096,0.000772234,0.000772234,0.000772234
156,1639.04,0.65498,0.49872,1.22668,0.9822,0.98402,0.98738,0.79495,0.83442,0.35636,1.39237,0.000770034,0.000770034,0.000770034
157,1648.95,0.6937,0.54117,1.27084,0.97038,0.92583,0.98142,0.79653,0.8046,0.39445,1.36553,0.000767834,0.000767834,0.000767834
158,1659.28,0.67747,0.51158,1.25404,0.97721,0.95008,0.98614,0.82523,0.74297,0.35228,1.29555,0.000765635,0.000765635,0.000765635
159,1669.94,0.65873,0.49859,1.23071,0.96973,0.97958,0.98751,0.80977,0.78003,0.34402,1.33602,0.000763435,0.000763435,0.000763435
160,1680.61,0.68188,0.50525,1.25185,0.98377,0.97005,0.98749,0.79325,0.84379,0.35503,1.41089,0.000761235,0.000761235,0.000761235
161,1690.68,0.68631,0.51183,1.25561,0.96874,0.97575,0.98823,0.80299,0.79781,0.34791,1.35762,0.000759035,0.000759035,0.000759035
162,1700.74,0.68511,0.52655,1.25891,0.97372,0.95855,0.98722,0.80121,0.77608,0.37096,1.34131,0.000756835,0.000756835,0.000756835
163,1710.98,0.66951,0.5413,1.23638,0.98338,0.96146,0.98711,0.81636,0.76014,0.34813,1.31557,0.000754636,0.000754636,0.000754636
164,1721.65,0.65557,0.49818,1.23367,0.98788,0.97107,0.98969,0.82035,0.76381,0.3334,1.31822,0.000752436,0.000752436,0.000752436
165,1732.15,0.66209,0.50108,1.22881,0.98288,0.97078,0.98935,0.81866,0.76526,0.34824,1.31934,0.000750236,0.000750236,0.000750236
166,1742.08,0.67902,0.51432,1.25473,0.97799,0.95986,0.98842,0.81622,0.77327,0.3512,1.34101,0.000748036,0.000748036,0.000748036
167,1752.24,0.64608,0.49708,1.22504,0.98094,0.96802,0.98715,0.83239,0.72118,0.33393,1.27304,0.000745837,0.000745837,0.000745837
168,1762.9,0.67016,0.51143,1.24238,0.98108,0.95905,0.98708,0.79588,0.8095,0.35809,1.38021,0.000743637,0.000743637,0.000743637
169,1773.26,0.66475,0.51586,1.24295,0.99136,0.9592,0.99041,0.80283,0.82556,0.36071,1.41437,0.000741437,0.000741437,0.000741437
170,1783.6,0.67928,0.53614,1.25355,0.98369,0.96636,0.98627,0.7829,0.89642,0.37762,1.48185,0.000739237,0.000739237,0.000739237
171,1793.53,0.70136,0.51285,1.27005,0.98307,0.97184,0.98843,0.81595,0.77784,0.33834,1.33233,0.000737037,0.000737037,0.000737037
172,1803.92,0.66004,0.50532,1.23875,0.98551,0.971,0.98991,0.82089,0.75017,0.32979,1.31175,0.000734838,0.000734838,0.000734838
173,1814.42,0.668,0.50002,1.2462,0.99135,0.96713,0.98983,0.80806,0.77701,0.34284,1.32098,0.000732638,0.000732638,0.000732638
174,1824.97,0.66287,0.48489,1.23545,0.98267,0.96853,0.9881,0.80653,0.78989,0.35053,1.33433,0.000730438,0.000730438,0.000730438
175,1834.99,0.68661,0.50388,1.25719,0.98602,0.97345,0.99068,0.81435,0.7654,0.34337,1.31549,0.000728238,0.000728238,0.000728238
176,1845.54,0.65465,0.48573,1.2253,0.98887,0.94976,0.98895,0.81651,0.77256,0.33864,1.30156,0.000726038,0.000726038,0.000726038
177,1856.27,0.65214,0.47449,1.23147,0.98994,0.97879,0.98894,0.80855,0.77384,0.32904,1.32856,0.000723839,0.000723839,0.000723839
178,1866.75,0.65823,0.49403,1.24197,0.97508,0.96276,0.98845,0.79862,0.8033,0.36409,1.36886,0.000721639,0.000721639,0.000721639
179,1876.68,0.64529,0.49777,1.2297,0.98855,0.96042,0.98925,0.8088,0.77869,0.33907,1.3308,0.000719439,0.000719439,0.000719439
180,1886.77,0.64825,0.47963,1.22905,0.97837,0.95874,0.98827,0.80133,0.80919,0.37426,1.38618,0.000717239,0.000717239,0.000717239
181,1897.36,0.65627,0.49477,1.23004,0.98735,0.95823,0.98868,0.80834,0.77268,0.34855,1.34339,0.00071504,0.00071504,0.00071504
