epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,1000.58,1.03991,1.07639,1.88947,0.83103,0.8932,0.93774,0.69081,0.95191,0.74615,1.99966,0.000858025,0.000858025,0.000858025
117,1004.45,1.04729,1.12902,1.87299,0.93135,0.89443,0.96157,0.70035,0.97671,0.70566,2.09264,0.000855826,0.000855826,0.000855826
118,1008.34,1.03671,1.05915,1.87318,0.87419,0.90336,0.9537,0.7099,0.95421,0.71578,2.03853,0.000853626,0.000853626,0.000853626
119,1012.2,1.05036,1.12472,1.8993,0.91532,0.86979,0.9503,0.70814,0.92331,0.71439,1.9862,0.000851426,0.000851426,0.000851426
120,1016.47,1.03425,1.11388,1.88698,0.92967,0.88771,0.96094,0.72552,0.92174,0.69104,1.99691,0.000849226,0.000849226,0.000849226
121,1020.74,1.07286,1.10624,1.89314,0.93381,0.82944,0.94778,0.71584,0.90424,0.71551,1.95493,0.000847026,0.000847026,0.000847026
122,1025.05,0.9942,1.06044,1.83473,0.91841,0.8866,0.95433,0.72459,0.90459,0.68762,1.98748,0.000844827,0.000844827,0.000844827
123,1029.32,1.00534,1.09955,1.85405,0.91882,0.87863,0.94974,0.71737,0.90509,0.67685,1.94085,0.000842627,0.000842627,0.000842627
124,1033.56,0.99585,1.0703,1.86979,0.92115,0.87066,0.95262,0.70812,0.94811,0.70695,2.03934,0.000840427,0.000840427,0.000840427
125,1037.39,1.02218,1.0393,1.8764,0.84425,0.89536,0.94608,0.68986,0.9493,0.71062,1.99577,0.000838227,0.000838227,0.000838227
126,1041.24,1.02915,1.06596,1.8908,0.87358,0.91724,0.9505,0.70205,0.96364,0.71769,2.05408,0.000836027,0.000836027,0.000836027
127,1045.07,1.02224,1.06939,1.86557,0.90618,0.92508,0.95787,0.71827,0.915,0.68914,1.96704,0.000833828,0.000833828,0.000833828
128,1048.88,1.01171,1.02977,1.85156,0.93373,0.89459,0.95519,0.72115,0.91349,0.67179,1.97468,0.000831628,0.000831628,0.000831628
129,1052.7,1.02989,1.0727,1.87679,0.90736,0.90205,0.95965,0.72733,0.87696,0.68221,1.92857,0.000829428,0.000829428,0.000829428
130,1056.52,1.0233,1.07519,1.86445,0.92686,0.85075,0.95466,0.72486,0.90268,0.70307,1.96644,0.000827228,0.000827228,0.000827228
131,1060.34,1.02144,1.08514,1.87182,0.9119,0.89374,0.95895,0.70681,0.93567,0.68398,2.0078,0.000825029,0.000825029,0.000825029
132,1064.35,1.00985,1.02763,1.85294,0.87912,0.90432,0.9422,0.69104,0.99485,0.72856,2.11472,0.000822829,0.000822829,0.000822829
133,1068.47,1.0094,1.01394,1.85919,0.90683,0.90919,0.95393,0.70245,0.95851,0.72158,2.04582,0.000820629,0.000820629,0.000820629
134,1072.79,1.03407,1.05768,1.89042,0.8891,0.91632,0.96258,0.73251,0.89761,0.66878,1.95172,0.000818429,0.000818429,0.000818429
